product_id,category,price,cost
P0001,Electronics,227.02,147.56
P0002,Electronics,185.4,120.51
P0003,Electronics,197.46,128.35
P0004,Electronics,169.23,110.0
P0005,Electronics,345.69,224.7
P0006,Electronics,65.8,42.77
P0007,Electronics,170.31,110.7
P0008,Electronics,226.53,147.24
P0009,Apparel,59.01,26.55
P0010,Apparel,39.8,17.91
P0011,Apparel,31.31,14.09
P0012,Apparel,82.02,36.91
P0013,Apparel,55.7,25.06
P0014,Apparel,23.42,10.54
P0015,Apparel,45.92,20.66
P0016,Apparel,57.0,25.65
P0017,Home,24.68,13.57
P0018,Home,49.19,27.05
P0019,Home,132.95,73.12
P0020,Home,79.47,43.71
P0021,Home,59.94,32.97
P0022,Home,50.39,27.71
P0023,Home,91.99,50.59
P0024,Home,112.14,61.68
P0025,Beauty,38.87,15.55
P0026,Beauty,56.61,22.64
P0027,Beauty,26.73,10.69
P0028,Beauty,41.84,16.74
P0029,Beauty,17.3,6.92
P0030,Beauty,34.69,13.88
P0031,Beauty,38.12,15.25
P0032,Beauty,35.42,14.17
P0033,Sports,88.25,44.12
P0034,Sports,58.68,29.34
P0035,Sports,88.25,44.12
P0036,Sports,72.11,36.05
P0037,Sports,41.57,20.79
P0038,Sports,18.18,9.09
P0039,Sports,103.58,51.79
P0040,Sports,63.16,31.58
